src_id,dst_id,weight
97,22,0.1026
97,5,0.0513
97,169,0.1538
97,296,0.0513
97,89,0.0513
97,90,0.1026
97,92,0.0513
97,328,0.0513
97,161,0.1026
97,336,0.1026
97,281,0.0513
97,492,0.0513
97,213,0.1026
97,20,0.3077
97,99,0.0513
97,278,0.1026
97,153,0.1026
97,23,0.0513
97,29,0.2564
97,16,0.1026
97,202,0.1538
97,392,0.0513
97,323,0.0513
97,456,0.0513
97,430,0.0513
97,431,0.1538
97,66,0.1026
97,84,0.1026
97,36,0.1538
97,442,0.0513
97,402,0.1026
97,421,0.0513
97,480,0.0513
97,443,0.0513
97,87,0.0513
97,114,0.0513
97,297,0.1026
97,93,0.0513
97,356,0.1026
97,403,0.1026
97,61,0.0513
97,446,0.0513
97,47,0.0513
184,144,0.1026
184,12,0.1538
184,247,0.0513
184,499,0.0513
184,243,0.0513
184,28,0.0513
184,103,0.1026
184,4,0.2564
184,122,0.0513
184,128,0.1026
184,244,0.0513
184,76,0.0513
184,18,0.1026
184,22,0.1026
184,5,0.1026
184,89,0.0513
184,17,0.1026
184,77,0.0256
184,20,0.0513
184,3,0.0513
184,378,0.1026
184,57,0.1026
184,112,0.1026
184,23,0.1026
184,318,0.0256
184,143,0.0513
184,123,0.1538
184,74,0.0513
184,120,0.0513
184,431,0.0513
184,66,0.1026
184,441,0.0513
184,2,0.0513
184,36,0.0513
184,69,0.0513
184,324,0.1026
184,212,0.1026
184,186,0.1026
184,30,0.0513
184,81,0.0513
415,50,0.1026
415,170,0.0513
415,55,0.3077
415,173,0.1026
415,39,0.3077
415,76,0.0513
415,331,0.0513
415,18,0.1026
415,473,0.0513
415,230,0.1538
415,41,0.0513
415,132,0.0513
415,157,0.1026
415,158,0.0513
415,432,0.1026
415,172,0.0513
415,11,0.0513
144,9,0.0513
144,67,0.0513
144,50,0.1538
144,193,0.1026
144,12,0.1026
144,247,0.1538
144,24,0.1026
144,55,0.0513
144,103,0.1538
144,4,0.1026
144,39,0.0513
144,25,0.1026
144,205,0.0513
144,76,0.1026
144,331,0.0513
144,18,0.2051
144,467,0.1538
144,22,0.1538
144,5,0.1538
144,89,0.0513
144,372,0.0513
144,17,0.1026
144,77,0.2051
144,8,0.1538
144,162,0.0513
144,373,0.0769
144,132,0.1538
144,177,0.0513
144,3,0.1026
144,271,0.0513
144,23,0.1026
144,158,0.1026
144,318,0.1282
144,16,0.1026
144,1,0.1538
144,142,0.1026
144,110,0.1538
144,399,0.1026
144,172,0.0513
